workload,config,prefetcher,level,latency,depth,degree,slots,table_entries,delta_width,accesses,reached_level,baseline_misses,misses,miss_rate,coverage,accuracy,generated,filtered,issued,useful,late,late_rate,pollution,overflows,seconds
xalancbmk,ngram-l2-lat256-degree1-depth2-slots1,ngram,L2,256,2,1,1,524288,48,20000000,1688747,1508712,1510321,89.4344,-0.1066,0.5389,689289,117935,571354,3079,470357,82.3232,17.0586,0,103.3
xalancbmk,ngram-l2-lat256-degree4-depth2-slots1,ngram,L2,256,2,4,1,524288,48,20000000,1688747,1508712,1509397,89.3797,-0.0454,0.9871,1302193,673661,628532,6204,483860,76.9826,21.9201,0,101.7
xalancbmk,ngram-l2-lat4-degree1-depth2-slots1,ngram,L2,4,2,1,1,524288,48,20000000,1688747,1508712,1390865,82.3608,7.8111,21.4472,689289,117927,571362,122541,350895,61.4138,17.0601,0,99.7
xalancbmk,ngram-l2-lat4-degree4-depth2-slots1,ngram,L2,4,2,4,1,524288,48,20000000,1688747,1508712,1307244,77.4091,13.3536,33.1512,1302193,673639,628554,208373,281701,44.8173,21.9214,0,96.3
xalancbmk,ngram-l2-lat64-degree1-depth2-slots1,ngram,L2,64,2,1,1,524288,48,20000000,1688747,1508712,1502096,88.9474,0.4385,1.9795,689289,117927,571362,11310,462126,80.8815,17.0599,0,104.8
xalancbmk,ngram-l2-lat64-degree4-depth2-slots1,ngram,L2,64,2,4,1,524288,48,20000000,1688747,1508712,1484889,87.9284,1.579,4.8868,1302193,673649,628544,30716,459348,73.0813,21.9218,0,93.4
xalancbmk,none-l2-lat0,none,L2,0,,,,,,20000000,1688747,1508712,1508712,89.3391,0.0,0.0,0,0,0,0,0,0.0,0.0,,45.8
xalancbmk,stride-l2-lat0-degree1,stride,L2,0,,1,,,,20000000,1688747,1508712,1446627,85.6627,4.1151,77.9535,101674,16386,85288,66485,0,0.0,21.5458,,46.6
xalancbmk,stride-l2-lat0-degree4,stride,L2,0,,4,,,,20000000,1688747,1508712,1444129,85.5148,4.2807,49.3309,406219,238448,167771,82763,0,0.0,49.8888,,56.5
xalancbmk,stride-l2-lat16-degree1,stride,L2,16,,1,,,,20000000,1688747,1508712,1450139,85.8707,3.8823,73.8357,101674,16386,85288,62973,3512,4.1178,21.5458,,67.5
xalancbmk,stride-l2-lat16-degree4,stride,L2,16,,4,,,,20000000,1688747,1508712,1446084,85.6306,4.1511,48.1657,406219,238448,167771,80808,1955,1.1653,49.8865,,57.5
xalancbmk,stride-l2-lat256-degree1,stride,L2,256,,1,,,,20000000,1688747,1508712,1483941,87.8723,1.6419,34.1952,101674,16396,85278,29161,37328,43.7721,21.5319,,81.9
xalancbmk,stride-l2-lat256-degree4,stride,L2,256,,4,,,,20000000,1688747,1508712,1483312,87.8351,1.6836,25.9684,406219,238473,167746,43561,39200,23.3687,49.8754,,66.5
xalancbmk,stride-l2-lat4-degree1,stride,L2,4,,1,,,,20000000,1688747,1508712,1447844,85.7348,4.0344,76.5266,101674,16386,85288,65268,1217,1.4269,21.5458,,61.0
xalancbmk,stride-l2-lat4-degree4,stride,L2,4,,4,,,,20000000,1688747,1508712,1444550,85.5398,4.2528,49.08,406219,238448,167771,82342,421,0.2509,49.8888,,63.0
xalancbmk,stride-l2-lat64-degree1,stride,L2,64,,1,,,,20000000,1688747,1508712,1454395,86.1227,3.6002,68.8456,101674,16386,85288,58717,7768,9.108,21.5458,,77.3
xalancbmk,stride-l2-lat64-degree4,stride,L2,64,,4,,,,20000000,1688747,1508712,1447997,85.7439,4.0243,47.0254,406219,238448,167771,78895,3868,2.3055,49.8865,,65.8
leela,ngram-l2-lat0-degree1-depth2-slots1,ngram,L2,0,2,1,1,524288,48,20000000,165359,9651,7507,4.5398,22.2153,85.0795,94663,91580,3083,2623,0,0.0,5.6114,0,55.5
leela,ngram-l2-lat0-degree4-depth2-slots1,ngram,L2,0,2,4,1,524288,48,20000000,165359,9651,7757,4.691,19.6249,75.0442,319444,315485,3959,2971,0,0.0,11.5181,0,42.7
leela,ngram-l2-lat16-degree1-depth2-slots1,ngram,L2,16,2,1,1,524288,48,20000000,165359,9651,9742,5.8914,-0.9429,12.5851,94663,91580,3083,388,2235,72.4943,5.6114,0,51.5
leela,ngram-l2-lat16-degree4-depth2-slots1,ngram,L2,16,2,4,1,524288,48,20000000,165359,9651,9038,5.4657,6.3517,42.6441,319444,315488,3956,1687,1281,32.3812,11.5268,0,50.8
leela,ngram-l2-lat256-degree1-depth2-slots1,ngram,L2,256,2,1,1,524288,48,20000000,165359,9651,10060,6.0837,-4.2379,2.1422,94663,91582,3081,66,2555,82.9276,5.6151,0,47.7
leela,ngram-l2-lat256-degree4-depth2-slots1,ngram,L2,256,2,4,1,524288,48,20000000,165359,9651,10559,6.3855,-9.4084,3.7037,319444,315502,3942,146,2811,71.309,11.4916,0,44.9
leela,ngram-l2-lat4-degree1-depth2-slots1,ngram,L2,4,2,1,1,524288,48,20000000,165359,9651,8610,5.2069,10.7864,49.3026,94663,91580,3083,1520,1103,35.7768,5.6114,0,58.8
leela,ngram-l2-lat4-degree4-depth2-slots1,ngram,L2,4,2,4,1,524288,48,20000000,165359,9651,7826,4.7327,18.91,73.3013,319444,315485,3959,2902,69,1.7429,11.5181,0,50.2
leela,ngram-l2-lat64-degree1-depth2-slots1,ngram,L2,64,2,1,1,524288,48,20000000,165359,9651,10034,6.068,-3.9685,3.1139,94663,91580,3083,96,2527,81.9656,5.6114,0,46.8
leela,ngram-l2-lat64-degree4-depth2-slots1,ngram,L2,64,2,4,1,524288,48,20000000,165359,9651,10291,6.2234,-6.6314,10.9454,319444,315488,3956,433,2535,64.0799,11.5268,0,46.9
leela,none-l2-lat0,none,L2,0,,,,,,20000000,165359,9651,9651,5.8364,0.0,0.0,0,0,0,0,0,0.0,0.0,,48.9
leela,stride-l2-lat0-degree1,stride,L2,0,,1,,,,20000000,165359,9651,8395,5.0768,13.0142,94.3771,43067,41253,1814,1712,0,0.0,3.0871,,49.6
